rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0622082B;public;102.1;50.28429765775309,2.784539757112145;Collège Marie Curie;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0622134H;privé sous contrat;123.7;50.49423564298234,2.9566696044868994;Collège privé Saint Druon;Lille;062;Pas-de-Calais;62215;Carvin
2023-2024;0622121U;privé sous contrat;111.5;50.38038661655527,2.3377303699610135;Collège privé Saint Louis;Lille;062;Pas-de-Calais;62767;Saint-Pol-sur-Ternoise
2023-2024;0622434J;public;88.5;50.727617613334296,1.6306095845429613;Collège Roger Salengro;Lille;062;Pas-de-Calais;62758;Saint-Martin-Boulogne
2023-2024;0622864B;public;101.2;50.27517239207419,2.7891502807308513;Collège François Mitterrand;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0590090C;public;91.4;50.98688621410387,2.137089920170622;Collège Pierre et Marie Curie;Lille;059;Nord;59273;Gravelines
2023-2024;0592715F;public;105.6;50.365060906353754,3.5320595657419096;Collège Charles Eisen;Lille;059;Nord;59606;Valenciennes
2023-2024;0622130D;privé sous contrat;107.3;50.726886411214906,1.6081500065715317;Collège privé Saint Joseph de Navarin;Lille;062;Pas-de-Calais;62160;Boulogne-sur-Mer
2023-2024;0622874M;public;85.3;50.71584944339516,2.231910192482097;Collège René Cassin;Lille;062;Pas-de-Calais;62902;Wizernes
2023-2024;0590107W;public;98.7;50.23296688119976,3.327169411828922;Collège Jean Moulin;Lille;059;Nord;59322;Iwuy
2023-2024;0592917A;privé sous contrat;150.1;50.678182975936785,3.167429374984203;Collège privé Jeanne d'Arc;Lille;059;Nord;59512;Roubaix
2023-2024;0593666P;public;106.1;51.05153241629934,2.4234896505024253;Collège Gaspard Malo;Lille;059;Nord;59183;Dunkerque
2023-2024;0597004T;public;79.3;50.61837243885932,3.064760509722426;Collège Miriam Makeba;Lille;059;Nord;59350;Lille
2023-2024;0620082C;public;90.2;50.60166097882675,2.100550431011966;Collège Monsigny;Lille;062;Pas-de-Calais;62325;Fauquembergues
2023-2024;0593660H;public;78.7;50.60889499400215,3.006710500148804;Collège René Descartes;Lille;059;Nord;59360;Loos
2023-2024;0622098U;public;84.5;50.4287649601296,2.918329570093103;Collège Emile Zola;Lille;062;Pas-de-Calais;62351;Fouquières-lès-Lens
2023-2024;0590164H;public;86.9;51.019704052139566,2.338029756501514;Collège Jean Zay;Lille;059;Nord;59183;Dunkerque
2023-2024;0593150D;privé sous contrat;82.9;50.73312731855424,3.1785703614570733;Collège privé Saint Gabriel;Lille;059;Nord;59599;Tourcoing
2023-2024;0593178J;public;72.9;50.641728868012265,3.1175204647683668;Collège François Rabelais;Lille;059;Nord;59410;Mons-en-Baroeul
2023-2024;0622136K;privé sous contrat;104.8;50.51382547224079,1.6417998303473476;Collège privé Saint Joseph;Lille;062;Pas-de-Calais;62318;Etaples
2023-2024;0590190L;public;64.4;50.68101814010843,3.1830697839593847;Collège Jean-Baptiste Lebas;Lille;059;Nord;59512;Roubaix
