rentree_scolaire;uai;secteur;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0590098L;public;;71.1;71.1;50.25120164822347,3.9136506659390724;Lycée professionnel Placide Courtoy;Lille;059;Nord;59291;Hautmont
2023-2024;0593078A;privé sous contrat;107.2;91.6;97.7;50.72008158936342,2.534279336289359;Lycée polyvalent privé Fondation Depoorter - Lycée des Métiers de la Santé et du Social;Lille;059;Nord;59295;Hazebrouck
2023-2024;0590182C;public;86.2;;86.2;50.67944483054058,3.167980164666059;Lycée général Baudelaire;Lille;059;Nord;59512;Roubaix
2023-2024;0592850C;public;;77.7;77.7;50.778454608445735,3.11436013937214;Lycée professionnel Antoine de Saint-Exupéry;Lille;059;Nord;59279;Halluin
2023-2024;0622089J;public;;80.9;80.9;50.52055017805886,2.654258625948719;Lycée professionnel André Malraux;Lille;062;Pas-de-Calais;62119;Béthune
2023-2024;0590214M;public;91.7;83.8;89.4;50.72565833616726,3.1571806711317283;Lycée polyvalent Colbert - Lycée des métiers du numérique et des technologies innovantes;Lille;059;Nord;59599;Tourcoing
2023-2024;0622192W;privé sous contrat;;86.5;86.5;50.51347588636617,1.6436493823154779;Lycée professionnel privé Saint Joseph;Lille;062;Pas-de-Calais;62318;Etaples
2023-2024;0624531N;privé sous contrat;126.2;;126.2;50.463671602004325,1.7655622957323893;Lycée général et technologique privé Sainte Austreberthe;Lille;062;Pas-de-Calais;62588;Montreuil-sur-Mer
2023-2024;0590192N;public;108.0;83.1;103.1;50.448499212313365,3.443630167896997;Lycée polyvalent Ernest Couteaux;Lille;059;Nord;59526;Saint-Amand-les-Eaux
2023-2024;0620192X;public;;71.4;71.4;50.485659885167536,2.5368604593309745;Lycée professionnel Pierre Mendès France;Lille;062;Pas-de-Calais;62178;Bruay-la-Buissière
2023-2024;0590116F;public;117.0;;117.0;50.6316239331111,3.0576506350141512;Lycée général Fénelon;Lille;059;Nord;59350;Lille
