rentree_scolaire;uai;secteur;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0590063Y;public;117.0;;117.0;50.37386901137226,3.0855501786094375;Lycée général Albert Chatelet;Lille;059;Nord;59178;Douai
2023-2024;0594652L;public;;72.7;72.7;51.0145906417492,2.3117499611761665;Lycée professionnel des Plaines du Nord;Lille;059;Nord;59271;Grande-Synthe
2023-2024;0590024F;public;111.3;;111.3;50.298610453598606,3.794680671485113;Lycée général des Nerviens;Lille;059;Nord;59053;Bavay
2023-2024;0590181B;public;95.4;;95.4;50.681280837629195,3.2072199693145738;Lycée général et technologique Maxence Van Der Meersch;Lille;059;Nord;59512;Roubaix
2023-2024;0590198V;public;;76.9;76.9;51.027301603302405,2.356039773078277;Lycée professionnel Georges Guynemer;Lille;059;Nord;59183;Dunkerque
2023-2024;0622120T;privé sous contrat;119.7;;119.7;50.75402602776089,2.2559104276682307;Lycée général privé Notre-Dame de Sion;Lille;062;Pas-de-Calais;62765;Saint-Omer
2023-2024;0590110Z;public;120.7;;120.7;50.6475899494943,3.0391493491656583;Lycée général et technologique Jean Perrin;Lille;059;Nord;59328;Lambersart
2023-2024;0593104D;privé sous contrat;101.2;79.8;85.4;50.009224390857845,4.050339807198157;Lycée polyvalent privé Saint Pierre;Lille;059;Nord;59249;Fourmies
2023-2024;0595480L;public;;73.9;73.9;51.03096184672872,2.362340424678106;Lycée professionnel Ile Jeanty;Lille;059;Nord;59183;Dunkerque
2023-2024;0590034S;public;102.0;;102.0;50.17300700549558,3.242749459341245;Lycée général et technologique Paul Duez;Lille;059;Nord;59122;Cambrai
2023-2024;0593060F;privé sous contrat;;93.6;93.6;50.70109039350268,2.8843906263178902;Lycée Polyvalent Privé Institut Nicolas Barré - Lycée des Métiers de la Sécurité-prévention, de l'Automobile et de la Maintenance des matériels;Lille;059;Nord;59017;Armentières
2023-2024;0620011A;public;;79.3;79.3;50.29194097339432,2.7440296430657836;Lycée Professionnel Jacques Le Caron;Lille;062;Pas-de-Calais;62041;Arras
2023-2024;0593114P;privé sous contrat;151.2;;151.2;50.62796270475039,3.048570130436905;Lycée général privé Saint Paul;Lille;059;Nord;59350;Lille
2023-2024;0624440P;public;98.4;78.9;91.0;50.472782357429715,2.6599496052880744;Lycée polyvalent d'Artois;Lille;062;Pas-de-Calais;62617;Noeux-les-Mines
2023-2024;0620056Z;public;96.7;75.4;92.1;50.480074477316144,2.5442748832997313;Lycée polyvalent Carnot;Lille;062;Pas-de-Calais;62178;Bruay-la-Buissière
2023-2024;0590143K;public;124.6;;124.6;50.66201238713699,3.0864196072483905;Lycée général Yves Kernanec;Lille;059;Nord;59378;Marcq-en-Baroeul
2023-2024;0620220C;public;;69.9;69.9;50.41278044246009,2.863410572686286;Lycée professionnel La Peupleraie;Lille;062;Pas-de-Calais;62771;Sallaumines
2023-2024;0592916Z;privé sous contrat;110.8;;110.8;50.276791021567234,3.9759099873260664;Lycée général et technologique privé Notre-Dame de Grâce;Lille;059;Nord;59392;Maubeuge
2023-2024;0590252D;public;;84.2;84.2;50.535319810796466,2.810530022452471;Lycée professionnel Louis-Léopold Boilly;Lille;059;Nord;59051;La Bassée
2023-2024;0590119J;public;116.1;;116.1;50.61476444362888,3.0777002640212037;Lycée général et technologique Faidherbe;Lille;059;Nord;59350;Lille
2023-2024;0590044C;public;87.4;71.8;82.1;50.12602921871598,3.4023195152689407;Lycée polyvalent Joseph-Marie Jacquard;Lille;059;Nord;59139;Caudry
2023-2024;0620070P;public;97.9;;97.9;50.490856216535505,2.947589960987671;Lycée général et Technologique Diderot;Lille;062;Pas-de-Calais;62215;Carvin
2023-2024;0590015W;public;;79.6;79.6;50.197143757169094,3.838209478668158;Lycée professionnel Pierre et Marie Curie;Lille;059;Nord;59033;Aulnoye-Aymeries
2023-2024;0620188T;public;;74.4;74.4;50.93848890746123,1.8741898077134682;Lycée professionnel du Detroit - Lycée des Métiers de la Mode et des Textiles - Lycée des Métiers de la Maintenance Industrielle des Terres d'Opale;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0590221V;public;103.6;;103.6;50.364073876597814,3.5211996849440834;Lycée général et technologique Henri Wallon;Lille;059;Nord;59606;Valenciennes
2023-2024;0622114L;privé sous contrat;123.2;112.3;122.0;50.436096360395936,2.8224197593368108;Lycée polyvalent privé Saint Paul;Lille;062;Pas-de-Calais;62498;Lens
2023-2024;0593138R;privé sous contrat;127.7;;127.7;50.18359440273775,3.504169811018734;Lycée général privé Saint Michel;Lille;059;Nord;59571;Solesmes
2023-2024;0592928M;privé sous contrat;106.9;96.9;102.0;50.200639667682175,3.8312103567966593;Lycée Polyvalent privé Sainte Jeanne d'Arc - Lycée des Métiers de l'Hôtellerie Restauration - Lycée des Métiers de l'Esthétique et de la Coiffure;Lille;059;Nord;59033;Aulnoye-Aymeries
2023-2024;0620040G;public;117.8;;117.8;50.53007616531432,2.6431799168780703;Lycée général et technologique Louis Blaringhem;Lille;062;Pas-de-Calais;62119;Béthune
2023-2024;0590257J;public;;79.1;79.1;50.691386341569505,2.8901400077647286;Lycée professionnel Ile de Flandre;Lille;059;Nord;59017;Armentières
2023-2024;0593102B;privé sous contrat;126.6;;126.6;51.03380776219629,2.3833005955047737;Lycée général privé Notre-Dame des Dunes;Lille;059;Nord;59183;Dunkerque
2023-2024;0623328F;public;;76.5;76.5;50.404301797466154,2.964260263514632;Lycée Professionnel Henri Senez - Lycée des Métiers;Lille;062;Pas-de-Calais;62427;Hénin-Beaumont
2023-2024;0596854E;public;83.7;71.8;78.0;50.46175198064292,3.583239328566915;Lycée polyvalent du Pays de Condé;Lille;059;Nord;59153;Condé-sur-l'Escaut
2023-2024;0595885B;public;102.6;;102.6;50.347635305312394,3.10809937334314;Lycée général et technologique Arthur Rimbaud;Lille;059;Nord;59569;Sin-le-Noble
2023-2024;0620167V;public;;79.0;79.0;50.373560819505215,2.3294305550080514;Lycée professionnel Pierre Mendès France;Lille;062;Pas-de-Calais;62767;Saint-Pol-sur-Ternoise
2023-2024;0593109J;privé sous contrat;137.7;;137.7;50.642901483734704,3.0621106439756147;Lycée général privé Notre-Dame de La Paix;Lille;059;Nord;59350;Lille
2023-2024;0595884A;public;76.0;74.3;75.3;50.272549799393786,3.9575103345776204;Lycée polyvalent André Lurcat;Lille;059;Nord;59392;Maubeuge
2023-2024;0620113L;public;97.0;;97.0;50.41145260085608,2.770584761939664;Lycée général et technologique Henri Darras;Lille;062;Pas-de-Calais;62510;Liévin
2023-2024;0590037V;public;;78.6;78.6;50.17340424155453,3.2412202736826305;Lycée professionnel Louise de Bettignies;Lille;059;Nord;59122;Cambrai
2023-2024;0590133Z;public;;79.7;79.7;50.60228482894601,3.0114097341470454;Lycée professionnel Maurice Duhamel;Lille;059;Nord;59360;Loos
2023-2024;0593006X;privé sous contrat;128.2;110.2;122.9;50.64245917440617,3.060049591957433;Lycée polyvalent privé Notre-Dame d'Annay;Lille;059;Nord;59350;Lille
2023-2024;0623902E;public;97.5;80.8;91.1;50.51795889905968,2.663069709245919;Lycée Polyvalent Marguerite Yourcenar;Lille;062;Pas-de-Calais;62126;Beuvry
2023-2024;0624141P;public;101.8;81.2;100.2;50.95239038150301,1.8800993924364584;Lycée polyvalent Léonard de Vinci - Lycée des métiers de la maintenance industrielle des terres d'Opale;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0590122M;public;93.5;83.1;89.9;50.647633412189506,3.072290231459998;Lycée polyvalent Valentine Labbé;Lille;059;Nord;59368;La Madeleine
2023-2024;0592969G;privé sous contrat;113.0;100.7;104.4;50.35417746162148,3.5005900695930467;Lycée polyvalent privé Dampierre;Lille;059;Nord;59606;Valenciennes
2023-2024;0593106F;privé sous contrat;134.2;;134.2;50.63813267153524,3.0268505735742863;Lycée général privé Sainte Odile;Lille;059;Nord;59328;Lambersart
2023-2024;0596957S;public;;73.5;73.5;50.63091367687423,3.0924403657936095;Lycée professionnel Aimé Césaire;Lille;059;Nord;59350;Lille
2023-2024;0590065A;public;90.4;77.7;81.9;50.37711075196482,3.0699795420155365;Lycée Polyvalent Elisa Lemonnier;Lille;059;Nord;59178;Douai
2023-2024;0590121L;public;91.5;;91.5;50.61704679945079,3.0683106686912387;Lycée général et technologique César Baggio;Lille;059;Nord;59350;Lille
2023-2024;0590125R;public;112.3;93.4;95.6;50.628494633089716,3.0930595369915377;Lycée Hôtelier International de Lille;Lille;059;Nord;59350;Lille
2023-2024;0594532F;public;;73.1;73.1;50.41539674624605,3.0508901688569505;Lycée professionnel Ambroise Croizat;Lille;059;Nord;59028;Auby
2023-2024;0620062F;public;108.4;;108.4;50.95670366866296,1.8360201778438683;Lycée général et technologique Pierre de Coubertin;Lille;062;Pas-de-Calais;62193;Calais
2023-2024;0594391C;public;128.0;;128.0;50.69581542561661,3.1685605598646234;Lycée technologique Ecole Sup Arts Appliqués Textile;Lille;059;Nord;59512;Roubaix
2023-2024;0594424N;public;105.7;;105.7;50.62552665953479,3.1318603271310668;Lycée général et technologique Raymond Queneau;Lille;059;Nord;59009;Villeneuve-d'Ascq
